"Name","State","Annotations","Data Category","Data Type","Description","Detail Rows Definition","Display Folder","Error Message","Expression","Extended Properties","Format String","Is Hidden","Is Removed","Is Simple Measure","KPI","Mddel","Modified Time","Parent","Structure Modified Time","Table"
"Performance to Cost Ratio","SemanticError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Unknown","Executive measure for Operational Efficiency","","Operational Efficiency","The value for 'Academic Excellence Rate' cannot be determined. Either the column doesn't exist, or there is no current row for this column.","DIVIDE([Academic Excellence Rate], [Average Investment per Athlete], 0) * 1000","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.000","False","False","False","","Model","11/24/2025 7:25:05 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Operational Leverage","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","DIVIDE([Total Athletes Program], [Total Scholarship Athletes], 0)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.00","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Productivity Index","SemanticError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Unknown","Executive measure for Operational Efficiency","","Operational Efficiency","The value for 'Academic Excellence Rate' cannot be determined. Either the column doesn't exist, or there is no current row for this column.","([Academic Excellence Rate] / 100) * ([Scholarship Utilization Rate] / 100) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 7:25:05 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Efficiency Benchmark","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","DIVIDE([Athletes per Dollar Invested], 0.5, 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Overall Program Health","SemanticError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Unknown","Executive measure for Executive KPIs","","Executive KPIs","The value for 'Academic Excellence Rate' cannot be determined. Either the column doesn't exist, or there is no current row for this column.","([Academic Excellence Rate] * 0.3) + ([Scholarship Utilization Rate] * 0.3) + ([Gender Diversity Index] * 0.2) + (100 - [Strategic Risk Rating] * 20) * 0.2","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 7:25:05 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Investment ROI Percentage","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Executive KPIs","","Executive KPIs","","DIVIDE([Academic Output per Dollar], 1, 0)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.00%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Board Reporting Score","DependencyError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Executive KPIs","","Executive KPIs","This expression refers to a Measure object named 'Executive Measures[Overall Program Health]', which has an error.","MIN([Overall Program Health], 100)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 7:25:05 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Competitive Position","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Executive KPIs","","Executive KPIs","","RANKX(ALL('Participation Summary by Term and Sport'[Sport Name]), [Average Career GPA Athletes], , DESC)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Stakeholder Value Index","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Executive KPIs","","Executive KPIs","","([High Performance Athletes] / [Total Athletes Program] * 100) + ([Scholarship Yield Rate])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/25/2025 1:12:15 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Program Sustainability","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Executive KPIs","","Executive KPIs","","100 - ([Investment at Risk] / [Total Athletic Investment] * 100)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Program Growth Rate","SemanticError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Unknown","Executive measure for Strategic Performance","","Strategic Performance","The syntax for 'PreviousYear' is incorrect. (DAX(

VAR CurrentYear = [Total Athletes Program]
VAR PreviousYear = CALCULATE([Total Athletes Program], 'Participation Summary by Term and Sport'[AwardYear] = MAX('Participation Summary by Term and Sport'[AwardYear]) - 1)
RETURN DIVIDE(CurrentYear - PreviousYear, PreviousYear, 0) * 100
)).","
VAR CurrentYear = [Total Athletes Program]
VAR PreviousYear = CALCULATE([Total Athletes Program], 'Participation Summary by Term and Sport'[AwardYear] = MAX('Participation Summary by Term and Sport'[AwardYear]) - 1)
RETURN DIVIDE(CurrentYear - PreviousYear, PreviousYear, 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 5:01:48 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 5:01:48 AM","Executive Measures"
"Strategic Value Score","SemanticError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Unknown","Executive measure for Executive KPIs","","Executive KPIs","The value for 'Academic Excellence Rate' cannot be determined. Either the column doesn't exist, or there is no current row for this column.","
VAR GrowthFactor = DIVIDE([Program Growth Rate] + 100, 100, 1)
VAR ExcellenceFactor = DIVIDE([Academic Excellence Rate], 100, 0)
VAR UtilizationFactor = DIVIDE([Scholarship Utilization Rate], 100, 0)
RETURN GrowthFactor * ExcellenceFactor * UtilizationFactor * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 7:25:05 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 5:01:48 AM","Executive Measures"
"Scholarship Coverage Rate","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","","","","","
AVERAGEX(
    VALUES('Participation Summary by Term and Sport'[Award Year]),
    VAR CurrentYear = 'Participation Summary by Term and Sport'[Award Year]
    VAR YearScholarships = 
        CALCULATE(
            DISTINCTCOUNT('Athletic Scholarships by Term 2017-2025'[Student ID Number]),
            'Athletic Scholarships by Term 2017-2025'[Award Year] = CurrentYear,
            'Athletic Scholarships by Term 2017-2025'[Amount Awarded] > 0
        )
    VAR YearAthletes = 
        CALCULATE(
            SUM('Participation Summary by Term and Sport'[Total Athletes]),
            'Participation Summary by Term and Sport'[Award Year] = CurrentYear
        )
    VAR YearCoverage = DIVIDE(YearScholarships, YearAthletes, 0)
    RETURN IF(YearCoverage > 1, 1, YearCoverage)
) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","","False","False","False","","Model","11/24/2025 7:02:49 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 6:39:34 AM","Executive Measures"
"Maximum Scholarship","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","","","Financial Performance","","MAX('Athletic Scholarships by Term 2017-2025'[Amount Awarded])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","\$#,0.###############;(\$#,0.###############);\$#,0.###############","False","False","False","","Model","11/24/2025 5:31:46 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 5:30:45 PM","Executive Measures"
"At-Risk Students Count","SemanticError","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Unknown","","","","Column 'GPA' in table 'Academic Performance by Term Sport and Scholarship' cannot be found or may not be used in this expression.","
CALCULATE(
    COUNTROWS('Academic Performance by Term Sport and Scholarship'),
    'Academic Performance by Term Sport and Scholarship'[GPA] < 2.5
)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","","False","False","False","","Model","11/24/2025 6:25:44 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 6:23:31 PM","Executive Measures"
"Total Distinct Athletes","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","","","Financial Performance","","DISTINCTCOUNT('Athletic Scholarships by Term 2017-2025'[Student ID Number])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0","False","False","False","","Model","11/24/2025 6:33:13 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 6:33:04 PM","Executive Measures"
"Test Years Participation","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","String","","","","","CONCATENATEX(VALUES('Participation Summary by Term and Sport'[Award Year]), 'Participation Summary by Term and Sport'[Award Year], ", ")","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","","False","False","False","","Model","11/24/2025 6:56:24 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 6:51:09 PM","Executive Measures"
